Plataforma;Tela;Status;Criticidade;Caminho Doc;Caminho Fonte
Web;AdminDashboardPage;🚨 CRÍTICO (FALHA);ALTA;../../../doctelas/web/AdminDashboardPage.md;frontend\src\app\admin\[slug]\dashboard\page.tsx
Web;CounterPage;🚨 CRÍTICO (FALHA);ALTA;../../../doctelas/web/CounterPage.md;frontend\src\app\admin\[slug]\counter\page.tsx
Web;KitchenPage;🚨 CRÍTICO (FALHA);ALTA;../../../doctelas/web/KitchenPage.md;frontend\src\app\admin\[slug]\kitchen\page.tsx
Mobile;DriverDashboard;🚨 CRÍTICO (FALHA);ALTA;../../../doctelas/mobile/DriverDashboard.md;mobile\src\screens\driver\DriverDashboard.tsx
Mobile;LoginScreen;🚨 CRÍTICO (FALHA);ALTA;../../../doctelas/mobile/LoginScreen.md;mobile\src\screens\auth\LoginScreen.tsx
Mobile;OrderEntryScreen;🚨 CRÍTICO (FALHA);ALTA;../../../doctelas/mobile/OrderEntryScreen.md;mobile\src\screens\waiter\OrderEntryScreen.tsx
Mobile;PaymentScreen;🚨 CRÍTICO (FALHA);ALTA;../../../doctelas/mobile/PaymentScreen.md;mobile\src\screens\waiter\PaymentScreen.tsx
Mobile;WaiterDashboard;🚨 CRÍTICO (FALHA);ALTA;../../../doctelas/mobile/WaiterDashboard.md;mobile\src\screens\waiter\WaiterDashboard.tsx
Web;AdminAuditPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminAuditPage.md;frontend\src\app\admin\[slug]\audit\page.tsx
Web;AdminBillingPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminBillingPage.md;frontend\src\app\admin\[slug]\settings\billing\page.tsx
Web;AdminCounterPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminCounterPage.md;frontend\src\app\admin\[slug]\counter\page.tsx
Web;AdminDeliveryPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminDeliveryPage.md;frontend\src\app\admin\[slug]\delivery\page.tsx
Web;AdminDriverPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminDriverPage.md;frontend\src\app\admin\[slug]\driver\page.tsx
Web;AdminExpeditorPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminExpeditorPage.md;frontend\src\app\admin\[slug]\expeditor\page.tsx
Web;AdminFeaturesPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminFeaturesPage.md;frontend\src\app\admin\[slug]\settings\features\page.tsx
Web;AdminFinancialPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminFinancialPage.md;frontend\src\app\admin\[slug]\audit\financial\page.tsx
Web;AdminForgotPasswordPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminForgotPasswordPage.md;frontend\src\app\admin\forgot-password\page.tsx
Web;AdminFranchisePage;⚠️ Parcial;Normal;../../../doctelas/web/AdminFranchisePage.md;frontend\src\app\admin\[slug]\franchise\page.tsx
Web;AdminHistoryPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminHistoryPage.md;frontend\src\app\admin\[slug]\dashboard\history\page.tsx
Web;AdminInventoryPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminInventoryPage.md;frontend\src\app\admin\[slug]\inventory\page.tsx
Web;AdminKitchenPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminKitchenPage.md;frontend\src\app\admin\[slug]\kitchen\page.tsx
Web;AdminLoginPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminLoginPage.md;frontend\src\app\admin\login\page.tsx
Web;AdminMarketingPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminMarketingPage.md;frontend\src\app\admin\[slug]\marketing\page.tsx
Web;AdminMenuPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminMenuPage.md;frontend\src\app\admin\[slug]\menu\page.tsx
Web;AdminOrdersPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminOrdersPage.md;frontend\src\app\admin\[slug]\waiter\orders\page.tsx
Web;AdminProfilePage;⚠️ Parcial;Normal;../../../doctelas/web/AdminProfilePage.md;frontend\src\app\admin\[slug]\profile\page.tsx
Web;AdminRegisterPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminRegisterPage.md;frontend\src\app\admin\register\page.tsx
Web;AdminResetPasswordPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminResetPasswordPage.md;frontend\src\app\admin\reset-password\page.tsx
Web;AdminSettingsPage;⚠️ Parcial;Normal;../../../doctelas/web/AdminSettingsPage.md;frontend\src\app\admin\[slug]\settings\page.tsx
